單字,中文,例句,中例,同義,反義
abnormal,adj.反常的，異常的；不規則的；變態的，畸形的；邪門兒； ,The abnormal activity of tyrosine protein kinase was the cause with endometrium abnormal growth.,提示rrPK活性異常是引起子宮內膜異常增生的原因.,deviate;irregular;aberrant;,sane;abnormality;normal;
aboriginal,adj.原產的，原始的；土著人的； n.土著居民；土生生物；澳大利亞土著； ,"To understand aboriginal art, it's essential to know something of the aboriginal culture and religion.",要能夠欣賞土著藝術，首先要了解一些土著人的文化和宗教。,somebody;Mauritian;Seychellois;,religious person;creditor;nonreligious person;
accessible,adj.易接近的；可理解的；易相處的；易感的； ,Set the accessible flag for this object to the indicated boolean value.,將此對象的accessible標誌設置為指示的布爾值。,approachable;comprehensible;comprehendible;,incomprehensible;incommodious;unskillfulness;
accessory,n.附件；（衣服的）配飾；從犯；婦女飾品； adj.附加的；附屬的；輔助的；同謀的； ,For example case accessory . Expatiate application and realization of GA in accessory processing craftwork decision - making.,"並以箱體類零件為例, 闡述遺傳演算法在零件加工工藝決策過程中的應用和實現.",trappings;furnishing;vesture;,legalize;lawful;software;
accountable,adj.負有責任的，應對自己的行為做出說明的；可解釋的；有解釋義務的；可說明的； ,"Executive civil servants are accountable to Scottish Ministers, who are themselves accountable to the Scottish Parliament.","蘇格蘭的所有公務員都向內閣部長們彙報, 部長們則受蘇格蘭議會管理.",responsible;,irresponsible;unobligated;
acute,adj.尖的，銳的；敏銳的，敏感的；嚴重的，劇烈的；[醫]急性的； ,"The acute appendicitis may divide into: Acute pure appendicitis, acute purulent appendicitis, acute gangrene appendicitis.",急性闌尾炎可分為：急性單純性闌尾炎、急性化膿性闌尾炎、急性壞疽性闌尾炎。,subacute;,chronic;indiscriminate;
administrative,adj.管理的，行政的；行政職位；非戰鬥性行政勤務的； ,"With the expansion of administrative authority, the administrative organ possesses greater administrative mandatory control.","隨著國家行政權的膨脹, 行政機關擁有的行政強制權範圍也在擴大,有效地監控行政強制權的運行,已經成為現實的課題.",,
affectionate,adj.深情的，摯愛的；慈愛的；有感情的；親熱； ,He gave her knee an affectionate pat / He gave her an affectionate pat on the knee.,他深情地拍了一下她的膝蓋.,lovesome;tender;warm;,unloving;tough;inedible;
alcoholic,adj.酒精的，含酒精的；酒精中毒的； n.酗酒者，酒鬼；酒精中毒者； ,To different alcoholic liver cirrhosis(ALC) from liver cirrhosis(LC) by observing ultrasonography.,"明確酒精性肝硬化(A lcoholic liver c irrhosis,ALC)和肝炎肝硬化(LC)的超聲鑒別診斷。",alky;inebriate;rummy;,scarce;poor;juiceless;
alternative,adj.替代的；備選的；其他的；另類的； n.可供選擇的事物； ,Pleading in the alternative or us alternative pleading.,在抗辯中作選擇性的或美國的選擇性抗辯的。,obverse;decision making;deciding;,closing;impossible;nonbeing;
